"Cropland to keep (ha)","Cropland to release (ha)","Cropland to expand (ha)","Scenario","Biodiveristy cost (0-1)","Carbon cost (T)","Elephant migration cost (0-1)","Travel time (mins)"
12016227.6653788,12478351.2551243,4325834.22080771,"80%",65979.1399167478,219837710.356073,37276.2102934099,113.870155808568
13398366.378405,11096212.5420981,3005154.05631209,"60%",75911.4738832265,161848788.065527,44992.5095842969,117.126460377246
19566579.4379808,4927999.48252235,13967186.6700526,"60%_half",196271.434507713,833059804.600934,145667.686641278,166.231061023648
